heartRate_cozie,light_cozie,noise_cozie,user_id,time-numeric,thermal_cozie
110.0,10.0,10.0,cresh05,11.55,10.0
59.0,9.0,10.0,cresh01,12.3,10.0
72.0,10.0,,cresh10,12.13,10.0
60.0,9.0,10.0,cresh01,12.18,10.0
93.0,9.0,10.0,cresh13,12.19,10.0
59.0,9.0,10.0,cresh01,12.33,10.0
87.0,10.0,10.0,cresh10,12.34,10.0
76.0,10.0,10.0,cresh07,12.35,10.0
74.0,10.0,10.0,cresh07,12.39,10.0
64.0,10.0,10.0,cresh01,12.48,10.0
76.0,10.0,10.0,cresh10,12.5,10.0
75.0,10.0,10.0,cresh07,13.0,10.0
59.0,10.0,10.0,cresh01,13.4,10.0
80.0,10.0,10.0,cresh10,13.4,10.0
77.0,10.0,10.0,cresh07,13.1,10.0
75.0,10.0,10.0,cresh10,13.17,10.0
64.0,10.0,10.0,cresh01,13.19,10.0
77.0,10.0,10.0,cresh07,13.26,10.0
62.0,10.0,10.0,cresh01,13.34,11.0
81.0,10.0,10.0,cresh07,13.35,10.0
101.0,10.0,,cresh08,13.4,10.0
76.0,10.0,10.0,cresh10,13.4,11.0
78.0,10.0,,cresh08,13.43,11.0
79.0,10.0,,cresh08,13.44,11.0
89.0,10.0,11.0,cresh13,13.44,11.0
79.0,10.0,11.0,cresh08,13.5,11.0
73.0,10.0,10.0,cresh10,13.55,10.0
91.0,10.0,10.0,cresh04,13.59,10.0
64.0,10.0,10.0,cresh08,13.59,10.0
87.0,10.0,10.0,cresh14,14.0,10.0
91.0,10.0,10.0,cresh05,14.6,10.0
111.0,10.0,10.0,cresh11,14.6,11.0
70.0,10.0,10.0,cresh10,14.1,10.0
75.0,10.0,10.0,cresh08,14.1,10.0
100.0,10.0,10.0,cresh14,14.16,10.0
87.0,10.0,10.0,cresh08,14.19,10.0
78.0,10.0,11.0,cresh10,14.19,10.0
77.0,10.0,10.0,cresh08,14.22,10.0
83.0,10.0,10.0,cresh10,14.24,10.0
80.0,10.0,10.0,cresh10,14.27,10.0
74.0,10.0,10.0,cresh10,14.4,10.0
90.0,10.0,10.0,cresh13,14.41,10.0
70.0,10.0,10.0,cresh07,14.42,9.0
88.0,10.0,10.0,cresh14,14.48,10.0
80.0,10.0,10.0,cresh07,14.53,10.0
67.0,10.0,10.0,cresh10,14.55,10.0
98.0,10.0,11.0,cresh12,14.55,11.0
86.0,10.0,10.0,cresh04,15.0,10.0
79.0,10.0,10.0,cresh07,15.3,9.0
65.0,10.0,10.0,cresh10,15.1,10.0
99.0,11.0,10.0,cresh11,15.12,11.0
94.0,10.0,10.0,cresh04,15.12,10.0
113.0,10.0,10.0,cresh05,15.12,11.0
67.0,10.0,11.0,cresh12,15.13,10.0
76.0,10.0,10.0,cresh14,15.13,9.0
73.0,10.0,10.0,cresh07,15.14,10.0
78.0,10.0,10.0,cresh05,15.19,11.0
88.0,10.0,10.0,cresh04,15.23,10.0
75.0,10.0,10.0,cresh07,15.24,10.0
66.0,10.0,10.0,cresh10,15.25,10.0
68.0,10.0,11.0,cresh12,15.32,10.0
88.0,10.0,10.0,cresh04,15.33,10.0
102.0,10.0,10.0,cresh14,15.34,10.0
100.0,10.0,10.0,cresh09,15.34,11.0
77.0,10.0,11.0,cresh07,15.34,10.0
89.0,10.0,10.0,cresh11,15.38,11.0
67.0,10.0,10.0,cresh10,15.4,9.0
76.0,10.0,10.0,cresh05,15.4,10.0
82.0,10.0,10.0,cresh04,15.42,10.0
79.0,10.0,10.0,cresh07,15.44,10.0
77.0,10.0,11.0,cresh12,15.48,11.0
82.0,10.0,10.0,cresh11,15.49,10.0
70.0,10.0,10.0,cresh05,15.51,10.0
83.0,10.0,10.0,cresh04,15.53,10.0
109.0,10.0,10.0,cresh07,15.54,10.0
90.0,10.0,10.0,cresh09,15.58,10.0
85.0,10.0,10.0,cresh04,16.2,10.0
92.0,10.0,10.0,cresh14,16.4,10.0
80.0,10.0,10.0,cresh07,16.7,10.0
76.0,10.0,10.0,cresh04,16.16,10.0
90.0,9.0,11.0,cresh13,16.19,10.0
76.0,10.0,10.0,cresh07,16.22,10.0
91.0,9.0,10.0,cresh05,16.22,11.0
91.0,9.0,10.0,cresh11,16.22,10.0
84.0,10.0,10.0,cresh14,16.25,9.0
70.0,9.0,10.0,cresh05,16.26,11.0
90.0,10.0,10.0,cresh04,16.27,10.0
76.0,10.0,10.0,cresh07,16.33,10.0
84.0,11.0,10.0,cresh11,16.34,10.0
77.0,10.0,10.0,cresh07,16.42,10.0
68.0,11.0,10.0,cresh11,16.45,10.0
69.0,10.0,10.0,cresh05,16.45,10.0
76.0,10.0,10.0,cresh07,16.5,10.0
68.0,10.0,10.0,cresh05,16.53,10.0
77.0,11.0,10.0,cresh11,16.55,10.0
98.0,10.0,10.0,cresh14,17.0,10.0
99.0,10.0,10.0,cresh14,17.0,10.0
81.0,10.0,10.0,cresh07,17.6,10.0
71.0,10.0,10.0,cresh07,17.1,10.0
76.0,11.0,10.0,cresh11,17.23,10.0
86.0,10.0,10.0,cresh14,17.42,9.0
63.0,10.0,10.0,cresh05,18.5,10.0
99.0,10.0,10.0,cresh14,18.7,9.0
89.0,10.0,11.0,cresh13,18.22,10.0
57.0,10.0,10.0,cresh05,19.1,10.0
93.0,10.0,10.0,cresh05,19.14,10.0
102.0,10.0,10.0,cresh14,20.28,9.0
88.0,10.0,10.0,cresh14,20.44,10.0
115.0,10.0,10.0,cresh14,20.57,10.0
90.0,10.0,10.0,cresh14,21.5,10.0
