heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,time-numeric
77.0,10.0,10.0,10.0,cresh04,17.9
75.0,10.0,10.0,10.0,cresh04,17.15
90.0,10.0,10.0,11.0,cresh10,17.16
98.0,10.0,10.0,10.0,cresh14,17.21
76.0,10.0,10.0,10.0,cresh04,17.25
74.0,10.0,10.0,10.0,cresh04,17.35
85.0,10.0,10.0,10.0,cresh14,17.36
83.0,10.0,10.0,11.0,cresh10,17.41
72.0,10.0,10.0,10.0,cresh04,17.45
78.0,10.0,10.0,10.0,cresh10,17.54
91.0,10.0,10.0,10.0,cresh14,18.2
80.0,10.0,10.0,10.0,cresh10,18.13
93.0,10.0,10.0,10.0,cresh14,18.15
76.0,11.0,10.0,11.0,cresh03,18.16
69.0,10.0,10.0,10.0,cresh10,18.24
94.0,11.0,10.0,11.0,cresh03,18.25
92.0,10.0,10.0,10.0,cresh14,18.30
68.0,10.0,10.0,10.0,cresh10,18.33
103.0,11.0,10.0,11.0,cresh03,18.33
89.0,11.0,10.0,11.0,cresh03,18.48
88.0,9.0,11.0,11.0,cresh13,18.58
97.0,11.0,10.0,11.0,cresh03,19.4
88.0,10.0,10.0,11.0,cresh03,19.9
90.0,9.0,10.0,10.0,cresh03,19.20
101.0,9.0,11.0,11.0,cresh13,19.31
94.0,10.0,10.0,11.0,cresh03,19.37
90.0,9.0,10.0,10.0,cresh03,19.52
91.0,9.0,10.0,10.0,cresh03,20.1
92.0,10.0,10.0,10.0,cresh03,20.11
86.0,9.0,10.0,10.0,cresh03,20.18
83.0,10.0,10.0,10.0,cresh03,20.30
82.0,9.0,10.0,10.0,cresh03,20.38
86.0,9.0,10.0,10.0,cresh03,20.45
84.0,9.0,10.0,10.0,cresh03,20.56
84.0,10.0,10.0,10.0,cresh03,21.10
64.0,10.0,10.0,10.0,cresh05,9.31
101.0,9.0,11.0,11.0,cresh01,9.44
64.0,10.0,10.0,10.0,cresh06,9.46
61.0,10.0,10.0,10.0,cresh05,9.53
61.0,10.0,10.0,10.0,cresh05,9.55
59.0,10.0,10.0,10.0,cresh06,10.0
81.0,9.0,10.0,11.0,cresh01,10.1
63.0,10.0,10.0,10.0,cresh06,10.15
71.0,9.0,10.0,11.0,cresh01,10.17
74.0,10.0,10.0,10.0,cresh05,10.18
60.0,10.0,10.0,10.0,cresh06,10.30
77.0,9.0,10.0,10.0,cresh01,10.32
73.0,10.0,10.0,10.0,cresh05,10.35
55.0,10.0,10.0,10.0,cresh06,10.45
68.0,9.0,11.0,10.0,cresh01,10.47
59.0,10.0,10.0,9.0,cresh06,11.0
74.0,9.0,10.0,10.0,cresh01,11.2
61.0,10.0,10.0,10.0,cresh05,11.5
72.0,10.0,10.0,10.0,cresh05,11.14
60.0,10.0,10.0,9.0,cresh06,11.15
70.0,9.0,10.0,10.0,cresh01,11.17
59.0,10.0,10.0,10.0,cresh05,11.19
64.0,10.0,10.0,10.0,cresh01,11.32
68.0,10.0,10.0,9.0,cresh05,11.43
63.0,9.0,10.0,10.0,cresh01,11.48
74.0,10.0,10.0,9.0,cresh05,11.51
110.0,10.0,10.0,10.0,cresh05,11.55
59.0,9.0,10.0,10.0,cresh01,12.3
72.0,10.0,,10.0,cresh10,12.13
60.0,9.0,10.0,10.0,cresh01,12.18
93.0,9.0,10.0,10.0,cresh13,12.19
59.0,9.0,10.0,10.0,cresh01,12.33
87.0,10.0,10.0,10.0,cresh10,12.34
76.0,10.0,10.0,10.0,cresh07,12.35
74.0,10.0,10.0,10.0,cresh07,12.39
112.0,11.0,10.0,10.0,cresh03,12.40
64.0,10.0,10.0,10.0,cresh01,12.48
76.0,10.0,10.0,10.0,cresh10,12.50
81.0,11.0,10.0,10.0,cresh03,12.56
75.0,10.0,10.0,10.0,cresh07,13.0
59.0,10.0,10.0,10.0,cresh01,13.4
80.0,10.0,10.0,10.0,cresh10,13.4
77.0,10.0,10.0,10.0,cresh07,13.10
71.0,10.0,10.0,10.0,cresh03,13.13
75.0,10.0,10.0,10.0,cresh10,13.17
64.0,10.0,10.0,10.0,cresh01,13.19
83.0,10.0,10.0,10.0,cresh03,13.25
77.0,10.0,10.0,10.0,cresh07,13.26
62.0,10.0,10.0,11.0,cresh01,13.34
81.0,10.0,10.0,10.0,cresh07,13.35
82.0,11.0,10.0,10.0,cresh03,13.39
101.0,10.0,,10.0,cresh08,13.40
76.0,10.0,10.0,11.0,cresh10,13.40
78.0,10.0,,11.0,cresh08,13.43
79.0,10.0,,11.0,cresh08,13.44
89.0,10.0,11.0,11.0,cresh13,13.44
74.0,11.0,10.0,10.0,cresh03,13.47
79.0,10.0,11.0,11.0,cresh08,13.50
73.0,10.0,10.0,10.0,cresh10,13.55
91.0,10.0,10.0,10.0,cresh04,13.59
64.0,10.0,10.0,10.0,cresh08,13.59
87.0,10.0,10.0,10.0,cresh14,14.0
77.0,11.0,10.0,10.0,cresh03,14.1
91.0,10.0,10.0,10.0,cresh05,14.6
111.0,10.0,10.0,11.0,cresh11,14.6
70.0,10.0,10.0,10.0,cresh10,14.10
75.0,10.0,10.0,10.0,cresh08,14.10
100.0,10.0,10.0,10.0,cresh14,14.16
114.0,11.0,10.0,10.0,cresh03,14.17
87.0,10.0,10.0,10.0,cresh08,14.19
78.0,10.0,11.0,10.0,cresh10,14.19
117.0,11.0,10.0,10.0,cresh03,14.19
77.0,10.0,10.0,10.0,cresh08,14.22
83.0,10.0,10.0,10.0,cresh10,14.24
80.0,10.0,10.0,10.0,cresh10,14.27
127.0,11.0,10.0,10.0,cresh03,14.30
74.0,10.0,10.0,10.0,cresh10,14.40
83.0,11.0,10.0,10.0,cresh03,14.40
90.0,10.0,10.0,10.0,cresh13,14.41
70.0,10.0,10.0,9.0,cresh07,14.42
84.0,10.0,10.0,10.0,cresh03,14.47
88.0,10.0,10.0,10.0,cresh14,14.48
80.0,10.0,10.0,10.0,cresh07,14.53
67.0,10.0,10.0,10.0,cresh10,14.55
98.0,10.0,11.0,11.0,cresh12,14.55
86.0,10.0,10.0,10.0,cresh04,15.0
79.0,10.0,10.0,9.0,cresh07,15.3
65.0,10.0,10.0,10.0,cresh10,15.10
99.0,11.0,10.0,11.0,cresh11,15.12
94.0,10.0,10.0,10.0,cresh04,15.12
113.0,10.0,10.0,11.0,cresh05,15.12
67.0,10.0,11.0,10.0,cresh12,15.13
76.0,10.0,10.0,9.0,cresh14,15.13
73.0,10.0,10.0,10.0,cresh07,15.14
78.0,10.0,10.0,11.0,cresh05,15.19
88.0,10.0,10.0,10.0,cresh04,15.23
75.0,10.0,10.0,10.0,cresh07,15.24
66.0,10.0,10.0,10.0,cresh10,15.25
68.0,10.0,11.0,10.0,cresh12,15.32
88.0,10.0,10.0,10.0,cresh04,15.33
102.0,10.0,10.0,10.0,cresh14,15.34
100.0,10.0,10.0,11.0,cresh09,15.34
77.0,10.0,11.0,10.0,cresh07,15.34
89.0,10.0,10.0,11.0,cresh11,15.38
67.0,10.0,10.0,9.0,cresh10,15.40
76.0,10.0,10.0,10.0,cresh05,15.40
82.0,10.0,10.0,10.0,cresh04,15.42
79.0,10.0,10.0,10.0,cresh07,15.44
77.0,10.0,11.0,11.0,cresh12,15.48
82.0,10.0,10.0,10.0,cresh11,15.49
70.0,10.0,10.0,10.0,cresh05,15.51
83.0,10.0,10.0,10.0,cresh04,15.53
109.0,10.0,10.0,10.0,cresh07,15.54
90.0,10.0,10.0,10.0,cresh09,15.58
85.0,10.0,10.0,10.0,cresh04,16.2
92.0,10.0,10.0,10.0,cresh14,16.4
80.0,10.0,10.0,10.0,cresh07,16.7
76.0,10.0,10.0,10.0,cresh04,16.16
90.0,9.0,11.0,10.0,cresh13,16.19
76.0,10.0,10.0,10.0,cresh07,16.22
91.0,9.0,10.0,11.0,cresh05,16.22
91.0,9.0,10.0,10.0,cresh11,16.22
84.0,10.0,10.0,9.0,cresh14,16.25
70.0,9.0,10.0,11.0,cresh05,16.26
90.0,10.0,10.0,10.0,cresh04,16.27
76.0,10.0,10.0,10.0,cresh07,16.33
84.0,11.0,10.0,10.0,cresh11,16.34
77.0,10.0,10.0,10.0,cresh07,16.42
68.0,11.0,10.0,10.0,cresh11,16.45
69.0,10.0,10.0,10.0,cresh05,16.45
76.0,10.0,10.0,10.0,cresh07,16.50
68.0,10.0,10.0,10.0,cresh05,16.53
77.0,11.0,10.0,10.0,cresh11,16.55
98.0,10.0,10.0,10.0,cresh14,17.0
99.0,10.0,10.0,10.0,cresh14,17.0
81.0,10.0,10.0,10.0,cresh07,17.6
71.0,10.0,10.0,10.0,cresh07,17.10
76.0,11.0,10.0,10.0,cresh11,17.23
