heartRate_cozie,light_cozie,noise_cozie,user_id,temperature_mbient,time-numeric,thermal_cozie
57.0,10.0,10.0,cresh05,29.75,19.1,10.0
93.0,10.0,10.0,cresh05,30.5,19.14,10.0
102.0,10.0,10.0,cresh14,27.0,20.28,9.0
88.0,10.0,10.0,cresh14,27.375,20.44,10.0
115.0,10.0,10.0,cresh14,28.375,20.57,10.0
90.0,10.0,10.0,cresh14,29.375,21.5,10.0
77.0,10.0,10.0,cresh14,30.125,22.6,10.0
78.0,10.0,10.0,cresh14,30.375,22.56,10.0
79.0,10.0,10.0,cresh14,30.125,23.1,10.0
75.0,10.0,10.0,cresh14,30.125,23.12,10.0
81.0,10.0,,cresh14,30.125,23.23,10.0
102.0,10.0,10.0,cresh14,29.5,23.43,9.0
93.0,10.0,10.0,cresh14,30.0,23.59,10.0
85.0,10.0,10.0,cresh14,30.375,0.21,10.0
85.0,10.0,10.0,cresh14,30.125,0.45,10.0
88.0,10.0,10.0,cresh13,29.875,10.57,11.0
102.0,10.0,11.0,cresh13,29.875,14.45,10.0
75.0,10.0,10.0,cresh14,31.25,17.24,10.0
85.0,10.0,10.0,cresh13,31.625,22.32,11.0
93.0,10.0,10.0,cresh14,28.125,14.9,10.0
97.0,10.0,10.0,cresh14,28.125,14.27,10.0
69.0,9.0,11.0,cresh13,28.75,14.28,10.0
103.0,10.0,11.0,cresh14,27.625,14.44,9.0
86.0,10.0,10.0,cresh14,26.25,15.18,9.0
66.0,10.0,10.0,cresh06,29.0,15.22,10.0
90.0,10.0,10.0,cresh04,29.375,15.32,10.0
84.0,10.0,10.0,cresh14,28.375,15.33,10.0
68.0,10.0,10.0,cresh06,29.125,15.37,10.0
90.0,10.0,10.0,cresh04,29.625,15.44,10.0
68.0,10.0,10.0,cresh06,28.75,15.52,10.0
87.0,10.0,10.0,cresh04,29.375,15.54,10.0
68.0,10.0,10.0,cresh06,29.0,16.7,10.0
89.0,10.0,10.0,cresh14,28.75,16.31,10.0
83.0,10.0,10.0,cresh04,29.0,16.38,10.0
81.0,10.0,10.0,cresh04,29.125,16.46,10.0
83.0,10.0,10.0,cresh14,29.375,16.47,10.0
68.0,10.0,10.0,cresh06,28.5,16.52,10.0
86.0,10.0,10.0,cresh14,29.875,17.7,10.0
86.0,10.0,10.0,cresh14,30.125,17.36,10.0
87.0,10.0,10.0,cresh14,29.0,17.45,10.0
85.0,10.0,10.0,cresh14,29.375,18.7,10.0
