heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric
105.0,10.0,10.0,11.0,cresh09,OPEN_EXHIBITION_SPACE_2,82.4407,237.0,67.0,28.1597,28.5,14.31
74.0,10.0,10.0,10.0,cresh04,BUDS_LAB,57.2609,187.0,44.0,22.9329,28.375,14.36
60.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.7574,279.0,52.0,27.1562,28.75,14.39
57.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.4372,72.0,44.0,24.625,28.125,14.45
64.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.8353,338.0,49.0,27.1278,28.5,14.55
80.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.1917,88.0,51.0,26.515,28.5,14.56
59.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.1197,71.0,44.0,24.6113,28.25,15.0
88.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.1309,85.0,49.0,26.5592,28.875,15.10
62.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,52.9165,68.0,44.0,24.6734,27.875,15.15
59.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,52.9615,67.0,44.0,24.6566,28.0,15.16
76.0,10.0,11.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.3486,83.0,52.0,26.5592,30.125,15.17
96.0,10.0,10.0,11.0,cresh09,OPEN_EXHIBITION_SPACE_2,77.01100000000001,214.0,64.0,29.0484,31.625,15.18
63.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.1343,68.0,44.0,24.566,28.5,15.30
94.0,9.0,10.0,11.0,cresh13,NEAR_DIC_STUDIO_1,60.8474,82.0,53.0,26.6635,29.75,15.42
77.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,61.4728,259.0,50.0,27.2931,28.625,15.56
89.0,10.0,10.0,10.0,cresh14,CAFE,74.0191,80.0,69.0,27.6172,29.125,15.57
62.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.6954,299.0,48.0,27.2626,28.75,16.17
81.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.4654,77.0,54.0,26.7393,29.25,16.18
59.0,10.0,10.0,9.0,cresh01,IRC_LIBRARY_1,61.4545,551.0,48.0,27.3352,28.75,16.32
109.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.1479,80.0,56.0,26.754,28.625,16.34
